第1次运行normal	时间差:44.945051454 s 	还差19次
第2次运行normal	时间差:41.421341717 s 	还差18次
第3次运行normal	时间差:43.333817500 s 	还差17次
第4次运行normal	时间差:45.341270670 s 	还差16次
第5次运行normal	时间差:42.089524886 s 	还差15次
第6次运行normal	时间差:43.406521284 s 	还差14次
第7次运行normal	时间差:41.318823745 s 	还差13次
第8次运行normal	时间差:43.599823273 s 	还差12次
第9次运行normal	时间差:41.900770642 s 	还差11次
第10次运行normal	时间差:44.921793161 s 	还差10次
第11次运行normal	时间差:42.249897480 s 	还差9次
第12次运行normal	时间差:40.278332990 s 	还差8次
第13次运行normal	时间差:41.398788246 s 	还差7次
第14次运行normal	时间差:45.258957025 s 	还差6次
第15次运行normal	时间差:41.227451057 s 	还差5次
第16次运行normal	时间差:42.153889743 s 	还差4次
第17次运行normal	时间差:42.943509206 s 	还差3次
第18次运行normal	时间差:45.453729397 s 	还差2次
第19次运行normal	时间差:46.169670852 s 	还差1次
第20次运行normal	时间差:39.115572347 s 	还差0次
